Agency - Agency,Commodity - Commodity,Supplier - Common Supplier,Ordered Date,PO #,PO amount
DEPARTMENT ON DISABILITY SERVICES,"9248600:Vocational Training, All Types  (Including Vocational Rehabilitation and Technical Education)",MFRI,28-Jan-15,PO506424-V2,"10,051.50"
DEPARTMENT OF HEALTH,9183800:Education and Training Consulting,CLEAR,3-Feb-15,PO515075,"4,995.00"
DC PUBLIC LIBRARY,"4505530:LOCK, FILE CABINET",DOURON INC.,12-Nov-14,PO510094,182.31
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"CHALK, CHARCOAL, PASTELS, PENCILS","SKY,LLC DBA/US-OFFICE SOLUTION",17-Nov-14,PO510501,39.12
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8051500:Athletic Awards (For Service Type See Class 080): Medals, Plaques, Trophies, etc.","SKY,LLC DBA/US-OFFICE SOLUTION",16-Jan-15,PO514303,185.28
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9816500:School Equipment and Supplies Rental or Lease,"KAPLAN COMPANIES, INC.",20-Feb-15,PO510178-V2,25.46
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4756424:CLEANERS, ABSORBENT, PAPER, RAYON FIBERS, LINT FREE",AMERICAN EXPRESS COMPANY,21-Nov-14,PO511095,"1,199.70"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8055135:GAMES, PLAYGROUND",S&S WORLDWIDE INC.,23-Jan-15,PO514549,39.98
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",J W PEPPER & SON INC,10-Nov-14,PO510013,40
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",POPPLERS MUSIC INC.,24-Nov-14,PO511205,19.99
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2094400:Educational: Foreign Languages, Math, Science, Social Studies, etc.",OFFICE DEPOT,13-Jan-15,PO514028,40.07
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"5251029:COVERS, MAGAZINE AND BOOK","TEACHER CREATED MATERIALS, INC",20-Nov-14,PO510887,"1,124.55"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY","CAPSTONE PRESS, INC",29-Dec-14,PO513534,19.49
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6057848:SEALS, WAX TYPE",General Merchandise Supplies,11-Dec-14,PO512471,"1,499.25"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2008554:SHIRTS, UNIFORM, 65/35, 6 OZ. TWILL, WRINKLE FREE, 2 BREAST POCKETS",PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,13-Jan-15,PO514085,102.9
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"BOARDS, MENU, MARQUE PANELS, CHANGEABLE LETTERS AND NUMBERS",DEMCO INC,23-Feb-15,PO515985,189.75
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7851533:BOARDS, DRY ERASE, RADIUS-EDGED, VINYL FRAME, 10 IN. MARKER TRAY, MAY BE HUNG EITHER WAY",LASER ART INC,17-Nov-14,PO510550,"1,789.20"
DEPARTMENT OF HUMAN SERVICES,"9204522:SOFTWARE LICENSING AND RELATED SUPPORT SERVICES, OHIO",DOCUMENT SYSTEMS INC,23-Oct-14,PO508171,"11,079.79"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6453337:PAPER, COPIER, MULTI-PURPOSE",AMERICAN EXPRESS COMPANY,10-Feb-15,PO515357,"28,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7854554:PAPER, DRAWING, SCHOOLROOM",SPORTS4KIDS,4-Dec-14,PO512057,"32,500.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY",FOLLETT SCHOOL SOLUTIONS,9-Feb-15,PO515299,3.24
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2042800:Data Entry and Remote Job Entry Devices, Voice Activated: Voice Recognition, Voice Digitization, Speech Synthesizers, etc.",Dell Computer Corp.,15-Jan-15,PO514222,"2,345.28"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9247100:School Operation and Management Services,WILLIAMSPORT BARBER SUPPLY,12-Feb-15,PO515568,138
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",NIENHUIS MONTESSORI USA INC,21-Nov-14,PO511087,9.9
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,17.04
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",NIENHUIS MONTESSORI USA INC,19-Dec-14,PO512862,185.5
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,4856500:Janitorial Equipment and Supplies (Not Otherwise Classified),General Merchandise Supplies,9-Oct-14,PO506896,979
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,21.29
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER","SCHOLASTIC, INC.",19-Nov-14,PO510751,4.49
OFFICE OF CABLE TV,"8405842:HARDWARE AND ACCESSORIES, TELEVISION",CORPORATE SYSTEMS RESOURCES,16-Dec-14,PO512829,"1,380.00"
DEPARTMENT OF FORENSICS SCIENCES,9614000:Forensic Services,SIRCHIE ACQUISITION COMPANY,13-Nov-14,PO510247,418.86
OFFICE OF THE CHIEF FINANCIAL OFFICER,9186900:Insurance Consulting,GEORGIA SURETY CO INC,11-Feb-15,PO515494,"60,711.00"
DEPARTMENT OF GENERAL SERVICES,RENTAL OF PARKING SPACES,INTERNATIONAL TRADE CENTER,25-Nov-14,PO511384,"61,560.00"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE",CA INC.,7-Oct-14,PO506336,"53,404.74"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE",SOFTWARE INFORMATION RESOURCE,3-Oct-14,PO506185,"22,991.92"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",25-Nov-14,PO507123-V2,"57,372.68"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",5-Dec-14,PO505251-V2,"27,523.20"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",5-Dec-14,PO506559-V3,"44,220.00"
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,NEAL R GROSS & CO INC,22-Oct-14,PO508027,"1,950.00"
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,9183200:Consulting Services (Not Otherwise Classified),"HCL AMERICA, INC.",14-Jan-15,PO512119-V2,"32,000.00"
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,"Cover Consulting, Inc.",21-Jan-15,PO512455-V2,370
OFFICE OF MUNICIPAL PLANNING,"9617252:TRANSCRIPTION SERVICES, MEDICAL, PROFESSIONAL","OLENDER REPORTING, INC.",7-Oct-14,PO506472,"25,000.00"
DEPARTMENT OF BEHAVIORAL HEALTH,9520500:Alcohol and Drug Detoxification (Incl. Rehabilitation),HILLCREST CHILDREN'S CENTER,1-Oct-14,PO505405,"40,000.00"
OFFICE ON LATINO AFFAIRS,9625800:Professional Services (Not Otherwise Classified),Latino-AS En Action,17-Dec-14,PO512967,"30,000.00"
METROPOLITAN POLICE DEPARTMENT,9625800:Professional Services (Not Otherwise Classified),XEROX CORPORATION,31-Dec-14,PO511960-V2,"83,300.00"
OFFICE OF POLICE COMPLAINTS,"2045340:MICROCOMPUTERS, DESKTOP",Dell Computer Corp.,23-Oct-14,PO508246,"3,525.93"
DEPARTMENT OF PUBLIC WORKS,9183800:Education and Training Consulting,LITERACY VOLUNTEERS OF AMERICA,10-Feb-15,PO515446,"21,960.00"
DEPARTMENT OF PUBLIC WORKS,9100600:Carpentry Maintenance and Repair Services,RSC ELECTRICAL & MECHANICAL CO,4-Dec-14,PO511958,"20,000.00"
OFFICE OF THE CHIEF FINANCIAL OFFICER,9463300:Collection Services,"Xerox State & Local Solutions, Inc.",3-Mar-15,PO516359,"93,056.00"
OFFICE OF THE CHIEF FINANCIAL OFFICER,9622400:Courier/Delivery Services (Including Air Courier Services),"DUNBAR ARMORED, INC.",28-Oct-14,PO504116-V2,"6,663.97"
OFFICE OF THE CHIEF FINANCIAL OFFICER,9625800:Professional Services (Not Otherwise Classified),"SHRED-IT USA, INC.",17-Nov-14,PO510481,"1,716.00"
HOMELAND SECURITY/EMERGENCY MANAGEMENT,"2041351:CABLE, COMPUTER, MISC.",Dell Computer Corp.,19-Feb-15,PO515834,719.94
CHILD AND FAMILY SERVICES AGENCY,9183200:Consulting Services (Not Otherwise Classified),CENTER FOR ADOPTION SUPPORT,16-Oct-14,PO507445,"102,650.00"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9183000:Computer Network Consulting,"OST, Inc.",3-Oct-14,PO506118,"48,364.80"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS",THE PRESIDIO CORPORATION,29-Oct-14,PO508820,"10,794.00"
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,9157100:Newspaper and Publication Advertising,Howard University the Learning Academy,19-Dec-14,PO510196-V2,"6,000.00"
DEPARTMENT OF EMPLOYMENT SERVICES,9615600:Program/Project Development and Management Services,URBAN ALLIANCE FOUNDATION,28-Jan-15,PO514784,"24,500.00"
DEPARTMENT OF YOUTH REHABILITATION SVCS,"9248600:Vocational Training, All Types  (Including Vocational Rehabilitation and Technical Education)","JKM TRAINING, INC.",2-Mar-15,PO516312,"33,902.76"
DEPARTMENT OF BEHAVIORAL HEALTH,9812464:RENTAL OF RECYCLING COLLECTION EQUIPMENT AND CONTAINERS,"21st Century Security, LLC",20-Oct-14,PO507667,4.8
DEPARTMENT OF CORRECTIONS,"6800815:ARMOR, BODY, BALLISTIC; TO PROVIDE TYPE II BALLISTIC IMPACT PROTECTION; TO BE APPROVED IN ACCORDANCE WITH THE NATIONAL INST. OF JUSTICE STANDARD 0101.03","KDH Defense Systems, Inc.",23-Oct-14,PO508119,"1,339.00"
DEPARTMENT ON DISABILITY SERVICES,"9529265:RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME","INTEGRATED COMMUNITY SERVICES,",4-Feb-15,PO505918-V3,"10,546.29"
DEPARTMENT OF HEALTH,"9626941:PERSONNEL SERVICES, TEMPORARY",GODWIN CORPORATION,28-Oct-14,PO508596,"20,921.60"
STATE SUPERINTENDENT OF EDUCATION (OSSE),"9613600:Food Administrative Services (Incl. Policy, Standards, Evaluation, etc.)",Advance Employee Intelligence,28-Jan-15,PO509190-V2,0
"DEPART OF INSURANCE,SECURITIES & BANKING","2062800:Computer Systems, Process Control","MVS, Inc.",25-Feb-15,PO516080,"7,500.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4757316:BAGS, PLASTIC, COLD PACK",SCHOOL HEALTH CORPORATION,23-Jan-15,PO514551,28.48
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2046032:CONTROLLERS, MONITOR, MICROCOMPUTER",Dell Computer Corp.,24-Dec-14,PO513358,"7,388.16"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2009243:COVERALLS, WORK, 100% COTTON, SHORT SLEEVE, SHIRT TYPE COLLAR, SNAP FRONT",MORGANS INC,13-Jan-15,PO513988,94.75
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4756483:TOWELETTES, DISINFECTANT, GERMICIDEL",MEDCO INC,24-Dec-14,PO513367,18.7
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7158600:Textbooks: 6th thru 8th Grade (Includes Student and Teacher Editions),"Curriculum Associates, LLC",31-Dec-14,PO513613,288.15
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6157344:FOLDERS, FILE, RECYCLED, HANGING AND INTERIOR FOLDERS",SCHOOL SPECIALTY,5-Nov-14,PO509492,54.67
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9982400:Chemicals, All Types",WARD'S NATURAL SCIENCE,30-Dec-14,PO513597,21.6
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9610200:Administrative Services, All Kinds  (Incl. Clerical,  Secretarial Services, etc.)",STEPHEN A VESCOVI,30-Oct-14,PO508932,"4,200.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9981800:Books, All Types (Library, School, etc.)",OKAPI Educational Publ,18-Dec-14,PO513088,210
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4208400:Schoolroom Furniture, Metal: Cabinets, Chairs, Desks, etc.",AMERICAN EXPRESS COMPANY,17-Nov-14,PO510569,"1,014.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9982400:Chemicals, All Types",AMERICAN EXPRESS COMPANY,1-Dec-14,PO511650,"16,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9625800:Professional Services (Not Otherwise Classified),LEADING EDUCATORS INC,13-Jan-15,PO514023,"40,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9103957:JANITORIAL/CUSTODIAL SERVICES,AMERICAN EXPRESS COMPANY,17-Nov-14,PO510569,"15,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2077983:TONER CARTRIDGES, LASER PRINTER, REMANUFACTURED",MDM Office Systems DBA Standard Office Supply,28-Oct-14,PO508639,229.95
OFFICE OF CABLE TV,9150900:Audio/Video Production Services Complete,Human Circuit,29-Dec-14,PO511483-V2,"200,000.00"
OFFICE OF THE MAYOR,9625800:Professional Services (Not Otherwise Classified),"AINS, Inc.",17-Nov-14,PO507888-V3,"17,192.00"
DEPARTMENT OF PUBLIC WORKS,9687200:Snow and Ice Removal Services,"Morton Salt, Inc.",18-Feb-15,PO509202-V5,"1,644,120.00"
HOMELAND SECURITY GRANTS,"0555444:LIGHTS, EMERGENCY","Progress Solar Solutions, LLC",9-Feb-15,PO515330,"232,740.00"
DEPARTMENT OF GENERAL SERVICES,9904600:Guard and Security Services,ALLIED BARTON SECURITY SERVICE,15-Oct-14,PO496337-V7,"45,063.80"
DEPARTMENT OF GENERAL SERVICES,9582600:Construction Management Services,AMAR GROUP LLC,28-Oct-14,PO508608,"21,260.00"
OFFICE OF THE CHIEF FINANCIAL OFFICER,6158115:STAPLES,MDM Office Systems DBA Standard Office Supply,3-Nov-14,PO483790-V3,"32,484.76"
HOMELAND SECURITY/EMERGENCY MANAGEMENT,9754400:Mass Transit Bus and Rail Vehicle Rental or Lease,WASH METRO AREA TRANSIT AUTH,28-Oct-14,PO508616,"15,000.00"
CHILD AND FAMILY SERVICES AGENCY,"9187850:CONSULTING SERVICES, MEDICAL",MAGNIFICUS CORPORATION,1-Oct-14,PO505525,"615,000.00"
DEPT. OF HOUSING AND COMM. DEVELOPMENT,"6003825:COPIERS, BOND (PLAIN) PAPER TYPE, NEW",XEROX CORPORATION,19-Dec-14,PO513150,"7,052.00"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9189500:Telecommunications Consulting,"LAZ PARKING LTD, LLC",8-Dec-14,PO511881-V2,"2,800.00"
OFFICE OF MUNICIPAL PLANNING,"9392741:COPY MACHINE MAINTENANCE AND REPAIR, ENGINEERING","CANON BUSINESS SOLUTIONS, INC",1-Oct-14,PO505233,234.6
DEPARTMENT OF EMPLOYMENT SERVICES,9615600:Program/Project Development and Management Services,URBAN ALLIANCE FOUNDATION,28-Jan-15,PO514784,"81,666.68"
DEPARTMENT OF EMPLOYMENT SERVICES,"9209100:Training, Computer Based (Software Supported)","WILLIE JOLLEY PRODUCTIONS, INC",26-Nov-14,PO511515,"3,000.00"
DEPARTMENT OF BEHAVIORAL HEALTH,"6154331:POCKETS, HANGING FILE, EXPANSION TYPE",ALS OFFICE PRODUCTS,10-Feb-15,PO505727-V2,"7,000.00"
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),CHESTNUT HEALTH SYSTEMS,10-Nov-14,PO506072-V2,246
BOARD OF ELECTIONS,9628600:Transportation of Goods and other Freight Services,PAXTON VAN LINES,11-Dec-14,PO506195-V2,"97,225.36"
EQUIPMENT LEASE - CAPITAL,"5584000:Passenger Cars, Light (Self-Propelled)",GENERAL SERVICE ADMINISTRATION,23-Feb-15,PO515918,"84,800.61"
DEPARTMENT OF PUBLIC WORKS,"9980900:Automobile, Truck and Bus Parts and Equipment","MOBILITY, INC. DBA FLEXCAR",29-Jan-15,PO505648-V3,"72,725.00"
DISTRICT DEPARTMENT OF THE ENVIRONMENT,9150300:Advertising/Public Relations,RADIO ONE INC.,23-Oct-14,PO508152,"11,250.00"
DISTRICT DEPARTMENT OF THE ENVIRONMENT,9625800:Professional Services (Not Otherwise Classified),SUBODH MATHUR,2-Dec-14,PO511774,"15,575.00"
OFFICE OF THE CHIEF FINANCIAL OFFICER,9180600:Administrative Consulting,"Kelmar Associates, LLC",30-Oct-14,PO508893,"40,000.00"
DEPARTMENT OF GENERAL SERVICES,"6208573:PEN SETS AND REFILLS, CERAMIC BALL",Capital Services and Supplies,10-Oct-14,PO506915,"75,000.00"
DEPARTMENT OF GENERAL SERVICES,"1924638:ICE MELT, ROAD AND HIGHWAY","Flintstone Group, LLC",18-Nov-14,PO510612,"50,000.00"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS","Networking For Future, Inc.",8-Oct-14,PO506483,"5,613.60"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS","Networking For Future, Inc.",21-Nov-14,PO510994,"1,363.50"
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,Veritext Corporation,21-Oct-14,PO507785,157.5
DEPARTMENT OF EMPLOYMENT SERVICES,"6003850:COPIERS, COLOR, NEW",XEROX CORPORATION,11-Feb-15,PO515510,"3,730.32"
DEPARTMENT OF EMPLOYMENT SERVICES,9615600:Program/Project Development and Management Services,LATIN AMERICAN YOUTH CENTER,6-Feb-15,PO514785,"21,922.60"
DEPARTMENT OF YOUTH REHABILITATION SVCS,9529500:Youth Care Services,CORNELL ABRAXAS GROUP INC,5-Dec-14,PO512162,"398,623.68"
DEPARTMENT ON DISABILITY SERVICES,"9066600:Planning, Site (Installation and Project)","BELL ARCHITECTS, PC",7-Oct-14,PO506393,"35,000.00"
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",WASHINGTON STORYTELLERS THEATR,14-Nov-14,PO510375,"15,000.00"
STATE SUPERINTENDENT OF EDUCATION (OSSE),9242073:SCORING OF G.E.D. ESSAYS,ALVIN R. PARRISH,9-Oct-14,PO506885,"2,000.00"
DC PUBLIC LIBRARY,9107100:Shoring and Reinforcement Services,COAKLEY & WILLIAMS CONST.,31-Oct-14,PO331707-V7,"364,338.98"
DC PUBLIC LIBRARY,"9060700:Architect Services, Professional","PERKINS + WILL VIRGINIA, INC.",22-Jan-15,PO508871-V2,"209,500.00"
DC PUBLIC LIBRARY,9625800:Professional Services (Not Otherwise Classified),Kathleen E. Gosselin,23-Dec-14,PO513327,"17,300.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6002278:TONER, CARTRIDGE, CALCULATORS, ELECTRONIC, PRINTING",PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,20-Oct-14,PO507698,"1,109.70"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9094500:Finishes: Flooring, Wall and Ceiling, etc.",General Merchandise Supplies,11-Dec-14,PO512468,199.9
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2402141:PLATES, CHINAWARE","SKY,LLC DBA/US-OFFICE SOLUTION",24-Nov-14,PO511176,41.68
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2007084:SHIRTS, TEE, 100% COTTON OR POLY/COTTON BLEND, ASSORTED COLORS",MORGANS INC,23-Jan-15,PO514554,106.2
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6001500:Calculators, Electronic, Display/Printing Type, Programmable",bluebay office inc,12-Dec-14,PO512612,353.5
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4758565:THERMOMETER KITS, KIT CONSIST OF THERMOMETER AND A PEN TYPE PROTECTIVE HOLDER WITH DUST COVER CAP, WALL BRACKETS NOT REQUIRED.",SCHOOL HEALTH CORPORATION,3-Feb-15,PO515008,6.54
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9982400:Chemicals, All Types",WARD'S NATURAL SCIENCE,30-Dec-14,PO513597,14.58
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4750903:BANDAGE, ABSORBENT GAUZE ROLLS, 'REDI-CUTS', NON-STERILE, SEAMLESS ROLLS, 10 YD LENGTH",SCHOOL HEALTH CORPORATION,16-Dec-14,PO512734,17
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9816500:School Equipment and Supplies Rental or Lease,MDM Office Systems DBA Standard Office Supply,17-Nov-14,PO510549,35.16
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7854400:Displays, Educational: Kits, Models, Plaques, etc.",BSN SPORTS,18-Feb-15,PO515755,22
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2086775:SOFTWARE, MICROCOMPUTER, SUBSCRIPTIONS",APPLE COMPUTER INC,17-Dec-14,PO512859,849
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"1803030:HYDROGEN PEROXIDE, LIQUID, 35% CONCENTRATION",General Merchandise Supplies,19-Nov-14,PO510754,179.8
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY",FOLLETT SCHOOL SOLUTIONS,9-Feb-15,PO515299,11.94
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9986700:Medical and Dental Equipment and Supplies,SCHOOL HEALTH CORPORATION,29-Jan-15,PO514853,7.1
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9247100:School Operation and Management Services,WILLIAMSPORT BARBER SUPPLY,12-Feb-15,PO515568,239.7
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY",FOLLETT SCHOOL SOLUTIONS,9-Feb-15,PO515299,9.4
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",NIENHUIS MONTESSORI USA INC,21-Nov-14,PO511087,79.9
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7854400:Displays, Educational: Kits, Models, Plaques, etc.",CITY YEAR INC,23-Feb-15,PO514663,"40,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9247800:Teaching and Instruction Services  (Including Elementary and Secondary Education, Higher Education and Adult Education)","ENCYCLOPAEDIA BRITANNICA, INC",22-Oct-14,PO507947,"27,836.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9247800:Teaching and Instruction Services  (Including Elementary and Secondary Education, Higher Education and Adult Education)","PEARSON EDUCATION, INC.",27-Jan-15,PO514690,500
DEPARTMENT OF PUBLIC WORKS,9143800:Electrical,"General Services, Inc.",8-Oct-14,PO506571,"56,742.50"
DEPARTMENT OF PUBLIC WORKS,"6150972:BINDERS, MEMO BOOKS, 6 RING, LOOSE LEAF, BLACK VINYL, FLEX COVER, OPENING MECH., NICKEL PLATED METALS",American Business Supplies LLC,6-Nov-14,PO509692,"15,000.00"
OFFICE OF THE CHIEF FINANCIAL OFFICER,"9182810:CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING",KMC INC,14-Oct-14,PO507089,"273,707.20"
DEPT. OF HOUSING AND COMM. DEVELOPMENT,9157100:Newspaper and Publication Advertising,THE WASHINGTON INFORMER,5-Nov-14,PO508960,"5,000.00"
D.C. NATIONAL GUARD,"9242500:For Credit Classes, Seminars, Workshops, etc.",Significant Education Inc,5-Nov-14,PO509485,"1,000.00"
D.C. NATIONAL GUARD,"DIVIDERS, INSERTABLE TAB INDEXES, LETTER SIZE, BUFF PAPER",Capital Services and Supplies,16-Jan-15,PO514260,51
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",2-Dec-14,PO507119-V2,"57,686.46"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9189500:Telecommunications Consulting,"LAZ PARKING LTD, LLC",8-Dec-14,PO511881-V2,"2,800.00"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9183000:Computer Network Consulting,"OST, Inc.",22-Jan-15,PO514088-V2,"54,960.64"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS","Networking For Future, Inc.",15-Dec-14,PO512713,"45,188.70"
DEPARTMENT OF YOUTH REHABILITATION SVCS,9529500:Youth Care Services,CORNELL CORRECTIONS OF CALIFOR,4-Dec-14,PO511995,"203,782.41"
DEPARTMENT OF BEHAVIORAL HEALTH,9484800:Health Care Services (Not Otherwise Classified),FIHANKRA AKOMA NTOASO (FAN),5-Nov-14,PO509403,"20,000.00"
DEPARTMENT OF BEHAVIORAL HEALTH,9520600:Alcohol and Drug Prevention,LATIN AMERICAN YOUTH CENTER,1-Oct-14,PO505614,"52,500.00"
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),"CBRCC, Inc.",2-Oct-14,PO506060,"4,500.00"
DEPARTMENT OF BEHAVIORAL HEALTH,"6402215:CONTAINERS, FOOD, FOAM PLASTIC",District Supply Inc.,10-Dec-14,PO512432,"33,282.08"
EMPLOYEES'COMPENSATION FUND,9625800:Professional Services (Not Otherwise Classified),"Excalibur Legal Staffing, LLC",30-Oct-14,PO508244-V2,"8,112.00"
EQUIPMENT LEASE - CAPITAL,"2046460:RACKS, FOR NETWORK COMPONENTS","Networking For Future, Inc.",6-Feb-15,PO512450-V2,"83,160.00"
OFFICE ON AGING,9524000:Elderly Assistance Services,CAPITOL AREA FOOD BANK,5-Feb-15,PO508070-V2,"455,000.00"
COUNCIL OF THE DISTRICT OF COLUMBIA,"6153301:ACCESSORIES, DESK",LASER ART INC,12-Feb-15,PO515604,24.16
DEPARTMENT OF PUBLIC WORKS,"2041392:PANELS, PATCH, INCLUDING PARTS AND ACCESSORIES FOR COMPUTER WIRING",R. REA CORPORATION,29-Oct-14,PO508678,"60,000.00"
